"variable","n","mean","sd","min","q1","median","q3","max","na"
"ID",261,131,75.4884097063914,1,66,131,196,261,0
"Prate",261,4.93218390804598,1.94442957343478,1.3,3.2,4.4,6.9,8.7,0
"Exper",261,10.2298850574713,6.22717583121685,1,6,9,14,37,0
"Sal94",261,153593.344827586,80469.6667203278,34514,90771,133284,200543,428876,0
"Sal95",261,168906.655172414,88778.4254109194,38675,99972,148117,218955,472589,0
"Log_Sal94",261,11.8136867172032,0.508243306144737,10.4491203178075,11.4160951303158,11.8002374689551,12.2087839665751,12.9689231118398,0
"Log_Sal95",261,11.908033754219,0.509532488322781,10.5629486754413,11.5126454257629,11.9057577809742,12.2966215082328,13.0659813679668,0
"Log_Exper",261,2.2734955837947,0.550435969035203,0.693147180559945,1.94591014905531,2.30258509299405,2.70805020110221,3.63758615972639,0
"Log_Prate",261,1.72561225699307,0.334419119251326,0.832909122935104,1.43508452528932,1.68639895357023,2.06686275947298,2.27212588550934,0
